Els manifestants han denunciat que en els darrers anys "els successius governs d'aquí i d'allà han passat del menyspreu al desmantellament de l'escola pública, començant a Catalunya per la pròpia LEC" i han alertat que s'està "deteriorant greument la qualitat de l'educació pública i les condicions laborals dels treballadors".	successius 	diferents	diferents	diferents	successius	successius	contigus	differents	diversos	continus	consecutius	seguit	seguits	ultims	tots	tot el conjunt	succesius	anteriors	previs
Els manifestants han denunciat que en els darrers anys "els successius governs d'aquí i d'allà han passat del menyspreu al desmantellament de l'escola pública, començant a Catalunya per la pròpia LEC" i han alertat que s'està "deteriorant greument la qualitat de l'educació pública i les condicions laborals dels treballadors".	deteriorant 	debilitant	debilitant	debilitant	danyant	danyant	danyant	deteriorant	deteriorant	deteriorant	minant	posar en mal estat	fent mal	espatllant	empobrint	afeblint	deformant: desarticulant	perjudicant	fent malbe	tornant pitjor	canviant malament
Els manifestants han denunciat que en els darrers anys "els successius governs d'aquí i d'allà han passat del menyspreu al desmantellament de l'escola pública, començant a Catalunya per la pròpia LEC" i han alertat que s'està "deteriorant greument la qualitat de l'educació pública i les condicions laborals dels treballadors".	desmantellament 	destrucció	destrucció	destrucció	destrucció	abandono	abandono	eliminar	esborrar	excloure	tancament	desconstrucció.	desmuntatge	desfeta	desmantellament	desarmament	la eliminació	a desmunta	a desfer-se	destrossar	desmuntar	final	desfer	destrucció lenta i per parts
Ribó ha apel·lat tota la jerarquia eclesiàstica a Catalunya, començant pel cardenal Omella, a "trobar la màxima interlocució i col·laboració pels casos que se'ns puguin presentar" i s'ha mostrat convençut que així serà, perquè li han donat "proves que hi estan disposats".	eclesiàstica 	religiosa	religiosa	religiosa	de la esglesia	de la esglesia	de l'església	de l'església	eclesiàstica	eclesiàstica	clergue	catolica	clerical	religios	esglesia	de l.esglesia	eclesiastica
Ribó ha apel·lat tota la jerarquia eclesiàstica a Catalunya, començant pel cardenal Omella, a "trobar la màxima interlocució i col·laboració pels casos que se'ns puguin presentar" i s'ha mostrat convençut que així serà, perquè li han donat "proves que hi estan disposats".	jerarquia 	jerarquia	jerarquia	jerarquia	jerarquia	jerarquia	ordre	ordre	prelatura	dignataris	gobern	organizació	associació	direcció	conclau	clero	estructura	distribució	cadena de poder	governants	societat
Ribó ha apel·lat tota la jerarquia eclesiàstica a Catalunya, començant pel cardenal Omella, a "trobar la màxima interlocució i col·laboració pels casos que se'ns puguin presentar" i s'ha mostrat convençut que així serà, perquè li han donat "proves que hi estan disposats".	interlocució 	diàleg	diàleg	diàleg	diàleg	diàleg	conversa	conversa	conversa	comunicació	comunicació	discussió	discussió	conversació	conversació	conversación	interacció	parlar	interlocució	xerrada	conferència	entesa	comprensió	el màxim diàleg	parlar entre ells	disposicio	intercanvi d'idees
Segons afirmen, el text certifica una "profunda claudicació en defensa del sistema d'immersió", tot proposant una "versió pròpia" del TIL aplicat a les Illes Balears que "no recull la realitat sociolingüística del català com a llengua minoritzada".	minoritzada 	minoritaria	minoritaria	minoritaria	minoritària	minoritària	marginada	marginada	minoritzada	minoritzada	poc parlada	poc parlada	mínim	apartar	ignorada	disminuida	reduida	en retrocés	poc coneguda	secundaria	inferiorr	poc usada
Segons afirmen, el text certifica una "profunda claudicació en defensa del sistema d'immersió", tot proposant una "versió pròpia" del TIL aplicat a les Illes Balears que "no recull la realitat sociolingüística del català com a llengua minoritzada".	claudicació 	renuncia	renuncia	renuncia	claudicació	claudicació	claudicació	rendició	rendició	justificació	renúncia	abandonadament	perdua	resignació	desestimació	cesió	claudicacio	reconéixement de la derrota
Segons afirmen, el text certifica una "profunda claudicació en defensa del sistema d'immersió", tot proposant una "versió pròpia" del TIL aplicat a les Illes Balears que "no recull la realitat sociolingüística del català com a llengua minoritzada".	sociolingüística 	social	social	social	social	del llenguatge i la societat	sociolingüistica	d'us	multilingüe	envoltant	parlant	de la llengua	sociolingüística	del carrer	cultural	popular
D'entre les escoles que inauguraran el curs amb obres destaquen l'escola Ignasi Iglesias que tot i intensificar-se en el període estival, són de gran envergadura i per tant, ja estaven planificades en aquesta línia.	planificades 	planificades	planificades	planificades	programades	programades	previstes	previstes	pensades	establertes	plantejades	aprovades	organizades	pautades	planejades	anificades	preparades	en el plà
D'entre les escoles que inauguraran el curs amb obres destaquen l'escola Ignasi Iglesias que tot i intensificar-se en el període estival, són de gran envergadura i per tant, ja estaven planificades en aquesta línia.	estival 	d'estiu	d'estiu	d'estiu	d'estiu	d'estiu	d'estiu	estival	estival	estival	de vacances	de vacances	de vacances	vacacional	vacacional	destiu	destiu	estiu	vacances	estiueix	d.estiu	estiuenc	de vacances destiu
D'entre les escoles que inauguraran el curs amb obres destaquen l'escola Ignasi Iglesias que tot i intensificar-se en el període estival, són de gran envergadura i per tant, ja estaven planificades en aquesta línia.	envergadura 	envergadura	envergadura	envergadura	tamany	tamany	dimensions	dimensions	mida	grans	abast	amplada	amplaria	dimensió	grandària	importància	qualitat	ambició	amplitud	magnitud	mesura
El Ministeri d'Educació estudia si en l'aplicació del 155, a través del qual assumeix les competències del Departament d'Ensenyament, pot modificar les normes de preinscripció escolar i incloure, en l'imprès que omplen les famílies, una casella per a què els pares puguin triar el castellà com a llengua vehicular amb què volen escolaritzar els seus fills.	escolaritzar 	escolaritzar	escolaritzar	escolaritzar	escolaritzar	educar	educar	escolitzar	educar a l'escola	alfabetitzar	formar	preparar	ensenyar	ser ensenyats	ficar a l'escola	enseyar
El Ministeri d'Educació estudia si en l'aplicació del 155, a través del qual assumeix les competències del Departament d'Ensenyament, pot modificar les normes de preinscripció escolar i incloure, en l'imprès que omplen les famílies, una casella per a què els pares puguin triar el castellà com a llengua vehicular amb què volen escolaritzar els seus fills.	imprès 	formulari	formulari	formulari	formulari	formulari	paper	paper	paper	imprès	imprès	imprès	document	document	fullet	enquesta	sol·licitud	full	documents	impres	informe
El Ministeri d'Educació estudia si en l'aplicació del 155, a través del qual assumeix les competències del Departament d'Ensenyament, pot modificar les normes de preinscripció escolar i incloure, en l'imprès que omplen les famílies, una casella per a què els pares puguin triar el castellà com a llengua vehicular amb què volen escolaritzar els seus fills.	vehicular 	vehicular	vehicular	vehicular	vehicular	principal	principal	principal	principal	de comunicació	fonamental	essencial	habitual	preferent	llengua d'ensenyament	d'ensenyament	d'ús	com la llengua en què...	materna	per comunicar-se	d'ús legal	d'ús oficial
El professorat no ha de ser de transmissor d'informació, sinó que ha d'inculcar el pensament crític i el pensament estratègic per combinar diferents informacions, entendre altres disciplines i distingir l'important de lefímer, ha demanat.	transmissor 	comunicador	comunicador	transmissor	transmissor	qui transmet	comunique	done a conèixer	portador	simple portador	conductor	nucli passiu	divulgadores	missatges	anunciador	donar	el que transmet	repetidor	repartidor	persona que porta
